City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
286,Tianpeng,CN,30.9866,103.9393,68.0,1,59,2.3,broken clouds
287,Plettenberg Bay,ZA,-34.0527,23.3716,62.04,90,5,7.25,clear sky
288,Kagoro,NG,9.6,8.3833,71.74,81,98,3.06,overcast clouds
289,Semey,KZ,50.4111,80.2275,32.94,59,32,7.58,scattered clouds
290,Vila Velha,BR,-20.3297,-40.2925,78.8,65,20,5.75,few clouds
291,Nhulunbuy,AU,-12.2333,136.7667,80.6,57,95,11.5,overcast clouds
292,Padang,ID,-0.9492,100.3543,75.94,84,100,4.16,overcast clouds
293,Petaluma,US,38.2324,-122.6367,71.01,55,1,9.22,clear sky
294,Estelle,US,29.8458,-90.1067,75.2,69,75,20.71,broken clouds
295,Joensuu,FI,62.6012,29.7632,33.01,100,20,4.61,few clouds
296,Druzhba,UA,52.0428,33.9453,42.67,75,100,6.51,light rain
297,Carutapera,BR,-1.195,-46.02,78.04,90,82,5.46,moderate rain
298,Yulara,AU,-25.2406,130.9889,53.6,62,0,8.05,clear sky
299,Kraksaan,ID,-7.7585,113.3962,75.52,77,5,4.59,clear sky
300,Xichang,CN,27.8964,102.2634,58.84,60,31,2.44,scattered clouds
301,Tanggu,CN,39.0211,117.6469,50.0,93,86,4.47,mist
302,Havoysund,NO,70.9963,24.6622,33.8,80,75,13.8,light snow
303,Ostrovnoy,RU,68.0531,39.5131,32.9,88,100,17.81,overcast clouds
304,Kalianget,ID,-7.05,113.9333,78.82,76,29,3.49,scattered clouds
305,Talcahuano,CL,-36.7167,-73.1167,62.6,72,20,9.22,few clouds
306,Anchorage,US,61.2181,-149.9003,51.8,32,1,6.91,clear sky
307,Bluff,NZ,-46.6,168.3333,45.0,95,76,1.99,broken clouds
308,Ivdel,RU,60.6911,60.4206,40.28,92,86,1.99,overcast clouds
309,Atocha,BO,-20.9333,-66.2333,52.0,14,0,22.06,clear sky
310,Pisco,PE,-13.7,-76.2167,71.6,68,0,10.36,clear sky
311,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,11.5,scattered clouds
312,Abha,SA,18.2164,42.5053,64.4,77,0,4.61,clear sky
313,Naryan-Mar,RU,67.6713,53.087,31.84,89,77,8.32,broken clouds
314,Dolgoye,RU,52.8,37.2167,43.86,95,100,7.67,moderate rain
315,Cam Ranh,VN,11.9214,109.1591,78.8,83,20,2.3,few clouds
316,Tabuk,PH,17.4189,121.4443,68.83,83,18,3.13,few clouds
317,Karratha,AU,-20.7377,116.8463,75.24,26,0,9.89,clear sky
318,Port Macquarie,AU,-31.4333,152.9167,50.0,84,5,1.01,clear sky
319,Taicheng,CN,38.731,113.228,46.45,89,98,2.1,overcast clouds
320,Peace River,CA,56.2501,-117.286,37.4,28,75,6.91,broken clouds
321,San Quintin,MX,30.4833,-115.95,63.48,64,15,18.25,few clouds
322,Gubkinskiy,RU,64.434,76.5026,33.96,90,98,13.65,overcast clouds
323,Lompoc,US,34.6391,-120.4579,60.01,62,0,6.91,clear sky
324,Kefamenanu,ID,-9.4467,124.4781,68.2,93,12,3.0,few clouds
325,Taoudenni,ML,22.6783,-3.9836,92.97,6,0,10.22,clear sky
326,Alice Springs,AU,-23.7,133.8833,44.6,76,0,3.44,clear sky
327,Resplendor,BR,-19.3256,-41.2553,75.94,66,2,2.33,clear sky
328,Pacifica,US,37.6138,-122.4869,62.6,59,20,5.75,few clouds
329,Betul,IN,21.9153,77.8961,81.05,17,70,3.47,broken clouds
330,Dongying,CN,37.4564,118.4856,52.93,86,100,12.71,overcast clouds
331,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,87,75,11.5,broken clouds
332,Kavali,IN,14.9167,79.9833,82.02,78,90,7.47,overcast clouds
333,Samarai,PG,-10.6167,150.6667,82.71,78,100,11.01,overcast clouds
334,Aykhal,RU,66.0,111.5,17.55,89,91,7.18,overcast clouds
335,Llanes,ES,43.4198,-4.7549,64.99,59,25,5.12,scattered clouds
336,Leningradskiy,RU,69.3833,178.4167,28.04,85,100,1.3,overcast clouds
337,Chimbote,PE,-9.0853,-78.5783,69.76,79,14,8.95,few clouds
338,Latehar,IN,23.75,84.5,74.21,17,8,6.53,clear sky
339,Sakakah,SA,29.9697,40.2064,78.8,11,0,9.22,clear sky
340,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.11,81,99,0.85,overcast clouds
341,Tocopilla,CL,-22.092,-70.1979,67.68,68,10,6.82,clear sky
