City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Beloha,MG,2021-04-21 18:10:34,-25.1667,45.05,70.2,80,30,16.89
158,Dekar,BW,2021-04-21 18:10:39,-21.5333,21.9333,66.25,37,0,8.19
159,Grand Gaube,MU,2021-04-21 18:10:40,-20.0064,57.6608,77.0,84,97,1.99
160,Elizabeth City,US,2021-04-21 18:10:40,36.2946,-76.2511,78.8,38,20,20.71
161,Mahibadhoo,MV,2021-04-21 18:10:40,3.7833,72.9667,82.98,69,14,7.67
162,Petropavlovsk-Kamchatskiy,RU,2021-04-21 18:10:41,53.0452,158.6483,37.4,75,75,4.47
163,Canalete,CO,2021-04-21 18:10:41,8.6761,-76.2042,86.04,66,100,9.1
164,Neryungri,RU,2021-04-21 18:10:42,56.6709,124.6491,24.28,91,100,11.7
165,Coahuayana,MX,2021-04-21 18:10:42,18.7333,-103.6833,86.0,17,1,7.31
166,Manokwari,ID,2021-04-21 18:10:42,-0.8667,134.0833,78.21,82,100,2.3
167,Nushki,PK,2021-04-21 18:10:43,29.5542,66.0215,76.48,14,100,4.0
168,Hovd,MN,2021-04-21 18:10:44,48.0056,91.6419,31.8,58,56,2.46
169,Zyryanka,RU,2021-04-21 18:10:44,65.75,150.85,26.73,78,14,16.15
170,Daesti,RO,2021-04-21 18:10:45,44.9667,24.1333,48.31,75,67,2.17
171,Beyneu,KZ,2021-04-21 18:10:45,45.3167,55.2,51.51,35,95,24.36
172,Mahebourg,MU,2021-04-21 18:10:46,-20.4081,57.7,77.0,94,75,8.05
173,Miramar,US,2021-04-21 18:10:46,25.9873,-80.2323,89.01,54,40,11.5
174,Port-Gentil,GA,2021-04-21 18:10:46,-0.7193,8.7815,84.2,84,40,4.61
175,Port Hardy,CA,2021-04-21 18:09:22,50.6996,-127.4199,48.2,87,75,9.22
176,Belaya Gora,RU,2021-04-21 18:10:47,68.5333,146.4167,18.68,93,100,15.32
177,Los Llanos De Aridane,ES,2021-04-21 18:10:47,28.6585,-17.9182,71.6,64,75,6.91
178,Labuhan,ID,2021-04-21 18:10:48,-6.8844,112.2051,76.05,80,52,5.17
179,Nikolskoye,RU,2021-04-21 18:10:48,59.7035,30.7861,36.0,93,75,4.47
180,Vredendal,ZA,2021-04-21 18:10:48,-31.6683,18.5012,64.56,66,36,5.12
181,Tasiilaq,GL,2021-04-21 18:10:49,65.6145,-37.6368,28.4,50,20,14.97
182,Faya,SA,2021-04-21 18:10:49,18.3851,42.4509,69.8,48,0,4.61
183,Juneau,US,2021-04-21 18:06:07,58.3019,-134.4197,48.2,61,75,4.61
184,Tuktoyaktuk,CA,2021-04-21 18:08:26,69.4541,-133.0374,10.4,85,90,25.32
185,Salta,AR,2021-04-21 18:10:20,-24.7859,-65.4117,78.8,57,40,5.75
186,Te Anau,NZ,2021-04-21 18:10:18,-45.4167,167.7167,47.12,93,79,1.28
187,Sitka,US,2021-04-21 18:10:51,57.0531,-135.33,46.4,71,20,6.91
188,Kavaratti,IN,2021-04-21 18:10:51,10.5669,72.642,84.49,67,49,8.01
189,Chokurdakh,RU,2021-04-21 18:10:52,70.6333,147.9167,16.79,95,100,10.74
190,Vardo,NO,2021-04-21 18:10:52,70.3705,31.1107,41.0,60,0,13.8
191,Lebu,CL,2021-04-21 18:10:53,-37.6167,-73.65,55.99,81,86,15.48
192,Bandarbeyla,SO,2021-04-21 18:10:53,9.4942,50.8122,82.8,78,49,9.98
