City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
645,Santa Rosa,PH,80.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
647,Moanda,GA,71.96,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
650,Kigoma,TZ,71.6,light rain,-4.8769,29.6267,MJI Mwema Lodge
653,Vega De Alatorre,MX,84.65,overcast clouds,20.0333,-96.6333,El Polo Norte
658,Kloulklubed,PW,75.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
661,Sola,VU,83.44,overcast clouds,-13.8833,167.55,Leumerus Bungalows
662,Huarmey,PE,71.69,few clouds,-10.0681,-78.1522,Hotel Miramar
663,Pumiao,CN,77.0,clear sky,22.75,108.4833,Mushang Boutique Hotel
664,Xuddur,SO,76.87,overcast clouds,4.1213,43.8894,Banjanay Hotel
666,Taguatinga,BR,80.47,broken clouds,-12.3857,-46.5711,
674,Kochi,IN,78.8,light intensity drizzle,9.9399,76.2602,Hotel Abad
675,Buluang,PH,76.62,overcast clouds,13.3068,123.3425,Enon Beach Resort
678,San Juan,AR,73.47,clear sky,-31.5375,-68.5364,Hotel Provincial
680,Safford,US,75.2,few clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
682,Sao Jose De Piranhas,BR,78.06,few clouds,-7.1206,-38.5019,Hotel Pousada São José
683,Tarauaca,BR,80.89,overcast clouds,-8.1614,-70.7656,Flat Temporada
685,Paramirim,BR,79.07,scattered clouds,-13.4425,-42.2389,Pousada Rio Pequeno
686,Biabou,VC,84.2,scattered clouds,13.2,-61.1333,Spring Garden Resort
690,Praya,CV,71.6,few clouds,14.9215,-23.5087,LT Aparthotel
691,Puro,PH,80.46,overcast clouds,12.4841,123.3827,
